日付,曜日,ページビュー(PV),セッション数,ユニークユーザー(UU)
2026-08-01,土,43,30,19
2026-08-02,日,44,31,22
2026-08-03,月,35,25,18
2026-08-04,火,33,23,16
2026-08-05,水,55,39,26
2026-08-06,木,62,43,28
2026-08-07,金,35,25,18
2026-08-08,土,33,23,17
2026-08-09,日,18,13,10
2026-08-10,月,63,43,29
2026-08-11,火,17,12,10
2026-08-12,水,18,13,11
2026-08-13,木,28,20,15
2026-08-14,金,38,27,19
2026-08-15,土,25,18,14
2026-08-16,日,25,18,14
2026-08-17,月,29,20,16
2026-08-18,火,31,22,17
2026-08-19,水,41,29,21
2026-08-20,木,15,11,9
2026-08-21,金,25,18,14
2026-08-22,土,18,13,10
2026-08-23,日,22,15,12
2026-08-24,月,19,13,11
2026-08-25,火,39,28,20
2026-08-26,水,49,35,24
2026-08-27,木,25,18,13
2026-08-28,金,44,31,22
2026-08-29,土,26,18,14
2026-08-30,日,25,18,14
2026-08-31,月,68,48,32
合計(31日間),-,1048,740,456
